Package	Architecture	Version	Filename	Size	SHA256
apt	arm64	3.0.3	pool/main/a/apt/apt_3.0.3_arm64.deb	1361960	9d88b95c6a6c9880b1bb40aebe7df3b34a0a160a9430d76fac496512a4cf69a6
base-files	arm64	13.8+deb13u6	pool/main/b/base-files/base-files_13.8+deb13u6_arm64.deb	73276	5f5a571ec846d7db05d9f825f0388a37bc033267b33cbf85b4eaa838dffcc41b
base-passwd	arm64	3.6.7	pool/main/b/base-passwd/base-passwd_3.6.7_arm64.deb	53392	c5755fd2cbf76961a1230e708b6bfc12c5400b57f3cd8a255675e9aa11d85848
bash	arm64	5.2.37-2+b9	pool/main/b/bash/bash_5.2.37-2+b9_arm64.deb	1456660	f9b0e4eb4ae81b3934a3211d755de26fa03881af3f159eb582437d3e8f55d9eb
binutils	arm64	2.44-3	pool/main/b/binutils/binutils_2.44-3_arm64.deb	261580	7228716cad15e78d1571f1cd4ec7141f64608790d0fbcba23a07f2eda6298272
binutils-aarch64-linux-gnu	arm64	2.44-3	pool/main/b/binutils/binutils-aarch64-linux-gnu_2.44-3_arm64.deb	820124	79cbf1459118bce3535133ffbf1fd2adbd57af65271f95c829af5cfa7f474168
binutils-common	arm64	2.44-3	pool/main/b/binutils/binutils-common_2.44-3_arm64.deb	2508772	f2d6b7d0b5521c4c90fc105e32819cd5268c1aa69104173b3fb856595f898249
bison	arm64	2:3.8.2+dfsg-1+b2	pool/main/b/bison/bison_3.8.2+dfsg-1+b2_arm64.deb	1149324	36b26ef0700504923089b4920e0bd704ff03de750515c90399cbc69bf43aed6d
bsdutils	arm64	1:2.41-5	pool/main/u/util-linux/bsdutils_2.41-5_arm64.deb	109072	a96b13485499f2c764b23fddac21397f79c104b4140838a8daebb1e6c6e8fec8
build-essential	arm64	12.12	pool/main/b/build-essential/build-essential_12.12_arm64.deb	4624	3278c93c699f9c12b6f7fe8e03393aa50d1c6b1c4b35da8f15b1c7bae67dc961
bzip2	arm64	1.0.8-6	pool/main/b/bzip2/bzip2_1.0.8-6_arm64.deb	39492	9fa8514c3fb3f363e7fa8bc85f699aaf15e747afaf220c57b978e9b74fd568bc
ca-certificates	all	20250419	pool/main/c/ca-certificates/ca-certificates_20250419_all.deb	161704	ef590f89563aa4b46c8260d49d1cea0fc1b181d19e8df3782694706adf05c184
coreutils	arm64	9.7-3	pool/main/c/coreutils/coreutils_9.7-3_arm64.deb	2948764	99b2531e8d16e4f2d3f239ae3cb57913ec1f43764d2d6cd5c69154cbb1e57f3e
